ResponseId,Coder,l_effort,l_strategy,l_help,l_mastery,l_interest,l_failure_good
1,1,0,2,0,1,0,1
1,2,0,2,0,2,0,0
2,1,2,0,1,0,0,1
2,2,2,0,1,0,0,1
3,1,0,0,2,1,0,0
3,2,0,0,2,1,0,0
4,1,2,1,0,0,0,0
4,2,2,1,0,0,0,0
5,1,2,0,0,0,0,0
5,2,2,0,0,0,0,0
6,1,0,0,2,1,0,0
6,2,1,0,2,0,0,0
7,1,0,0,2,0,0,1
7,2,0,0,2,0,0,1
8,1,3,0,1,0,0,0
8,2,0,3,1,0,0,0
9,1,1,0,1,0,0,0
9,2,0,0,1,1,0,0
10,1,2,1,1,0,0,0
10,2,2,0,1,1,0,0
11,1,0,1,1,0,0,0
11,2,0,1,1,0,0,0
12,1,0,0,0,0,0,0
12,2,0,0,0,0,0,0
13,1,0,0,1,0,0,0
13,2,0,0,1,0,0,0
14,1,0,0,1,1,0,0
14,2,0,1,1,1,0,0
15,1,0,1,1,0,0,1
15,2,0,0,1,1,0,1
16,1,0,0,1,0,0,2
16,2,0,0,1,1,0,0
17,1,0,0,0,2,0,0
17,2,1,2,0,0,0,0
18,1,1,0,0,0,0,1
18,2,1,0,0,0,0,1
19,1,1,1,1,0,0,0
19,2,1,1,1,0,0,0
20,1,0,0,2,0,0,0
20,2,0,0,1,0,0,0